GEOID,year,candidatevotes,totalvotes,voteshare
 1039,2004,3423,14627,23.40192794147809
 1039,2008,3240,15787,20.523215303730918
 1039,2012,3158,15423,20.475912598067822
 1039,2016,2387,15940,14.974905897114176
 1039,2020,2721,17430,15.611015490533564
 1039,2024,2314,17095,13.536121673003803
 1041,2000,1934,4795,40.33368091762252
 1041,2004,1698,5500,30.872727272727275
 1041,2008,1938,6291,30.805913209346684
 1041,2012,2050,6418,31.941414770956683
 1041,2016,1664,6267,26.55177916068294
 1041,2020,1700,6617,25.691400936980507
 1041,2024,1457,6486,22.463768115942027
 1043,2000,9758,29525,33.04995766299746
 1043,2004,8045,35191,22.860958767866784
 1043,2008,5864,35305,16.609545390171363
 1043,2012,5052,34457,14.661752328989754
 1043,2016,3798,37873,10.028252316954031
 1043,2020,4478,41851,10.699863802537573
 1043,2024,4039,43146,9.361238585268623
 1045,2000,4906,15806,31.038846007845123
 1045,2004,4484,18231,24.59546925566343
 1045,2008,5270,19320,27.277432712215322
 1045,2012,5286,18557,28.485207738319772
 1045,2016,4413,18749,23.537255320283748
 1045,2020,5170,19738,26.193130003039823
 1045,2024,4484,19139,23.42860128533361
 1047,2000,10967,18464,59.39666377816292
 1047,2004,11175,18573,60.167985785818125
 1047,2008,13986,20852,67.07270285823903
 1047,2012,14612,20953,69.73703049682624
 1047,2016,12836,18792,68.3056619838229
 1047,2020,12230,17864,68.46171070309002
 1047,2024,10236,15547,65.83906863060398
 1049,2000,7056,20285,34.78432339166872
 1049,2004,7092,24135,29.384711000621504
 1049,2008,5658,24015,23.560274828232355
 1049,2012,5239,23863,21.954490214977163
 1049,2016,3622,25826,14.02462634554325
 1049,2020,4281,29356,14.583049461779535
 1049,2024,3758,29660,12.670262980445044
 1051,2000,6652,23804,27.944883212905392
 1051,2004,6471,28680,22.56276150627615
 1051,2008,8301,34315,24.190587206760892
 1051,2012,8954,35485,25.233197125546003
 1051,2016,8443,37260,22.659688674181428
 1051,2020,10367,41030,25.26687789422374
 1051,2024,9774,41624,23.481645204689602
 1053,2000,4523,11660,38.79073756432247
 1053,2004,3814,12395,30.770471964501816
 1053,2008,5188,14674,35.35504974785334
 1053,2012,5489,14869,36.91573071491022
 1053,2016,4605,14845,31.020545638262043
 1053,2020,4918,15910,30.91137649277184
 1053,2024,3964,14957,26.502640903924586
 1055,2000,17433,39348,44.304666056724614
 1055,2004,15328,42680,35.91377694470478
 1055,2008,13497,44737,30.16965822473568
 1055,2012,12803,42530,30.10345638372913
 1055,2016,10442,44164,23.64369169459288
 1055,2020,11567,47728,24.23524974857526
 1055,2024,10027,46137,21.73309924789215
 1057,2000,3064,7808,39.24180327868852
 1057,2004,2408,8002,30.092476880779806
 1057,2008,1994,7957,25.059695865275856
 1057,2012,1817,7946,22.866851245909892
 1057,2016,1362,8249,16.5110922536065
 1057,2020,1395,8766,15.91375770020534
 1057,2024,1142,8369,13.645596845501254
 1059,2000,4793,11103,43.16851301450059
 1059,2004,4514,12269,36.791914581465484
 1059,2008,3469,11693,29.667322329598907
 1059,2012,3171,10859,29.20158393958928
 1059,2016,2197,12040,18.24750830564784
 1059,2020,2086,12578,16.584512641119414
 1059,2024,1568,12097,12.961891378027609
 1061,2000,2769,9559,28.967465216026785
 1061,2004,2113,10520,20.08555133079848
 1061,2008,2134,11657,18.306596894569786
 1061,2012,2039,11320,18.012367491166078
 1061,2016,1525,11758,12.969892838918184
 1061,2020,1595,12545,12.714228776404942
 1061,2024,1391,12401,11.216837351826465
 1063,2000,3504,4396,79.70882620564149
 1063,2004,3764,4748,79.27548441449032
 1063,2008,4408,5305,83.09142318567389
 1063,2012,4521,5340,84.6629213483146
 1063,2016,4013,4880,82.23360655737704
 1063,2020,3884,4775,81.34031413612566
 1063,2024,3133,4039,77.56870512503095
 1065,2000,4652,7731,60.173328159358434
 1065,2004,4631,7945,58.28823159219635
 1065,2008,4982,8214,60.65254443632821
 1065,2012,5411,8643,62.60557676732616
 1065,2016,4775,8040,59.39054726368159
 1065,2020,4663,7900,59.0253164556962
 1065,2024,3868,7305,52.950034223134836
 1067,2000,2782,6932,40.132717830351986
 1067,2004,2452,7361,33.31069148213558
 1067,2008,3018,8648,34.89824236817761
 1067,2012,3083,8760,35.194063926940636
 1067,2016,2292,8072,28.39444995044599
 1067,2020,2606,9298,28.02753280275328
 1067,2024,2263,9320,24.281115879828327
 1069,2000,9412,32057,29.360202139938234
 1069,2004,9144,36201,25.258970746664456
 1069,2008,12225,41735,29.2919611836588
 1069,2012,12367,41918,29.502838875900565
 1069,2016,10664,42639,25.009967400736414
 1069,2020,12917,46173,27.975223615532883
 1069,2024,11352,44349,25.596969491984034
 1071,2000,9066,17906,50.6310733832235
 1071,2004,8635,20321,42.49298754982531
